index,x0,x1,layer,weight,rho,delta,nh,isSeed,clusterId
42,-235.44,176.73,0,1,5.5,999,-1,0,-1
43,-234.1,177.83,0,1,5.5,999,-1,0,-1
44,-234.21,176.38,0,1,5.5,999,-1,0,-1
45,-233.12,176.42,0,1,5.5,999,-1,0,-1
46,-228.79,174.68,0,1,5.5,999,-1,0,-1
47,-231.08,173.93,0,1,5.5,999,-1,0,-1
48,-234.87,178.03,0,1,5.5,999,-1,0,-1
49,-233.87,175.33,0,1,5.5,999,-1,0,-1
50,-82.81,-26.73,0,1,14,999,-1,0,-1
51,-81.84,-29.48,0,1,13.5,999,-1,0,-1
52,-77.61,-30.35,0,1,9.5,999,-1,0,-1
53,-80.33,-24.66,0,1,16,999,-1,0,-1
54,-80.54,-28.99,0,1,13.5,999,-1,0,-1
55,-83.08,-28.65,0,1,14,999,-1,0,-1
56,-83.34,-23.45,0,1,16.5,999,-1,0,-1
57,-81.43,-28.52,0,1,13.5,999,-1,0,-1
58,-82.07,-30.22,0,1,11,999,-1,0,-1
59,-82.4,-24.63,0,1,16.5,999,-1,0,-1
60,82.39,3.99,0,1,5.5,999,-1,0,-1
61,80.6,2.22,0,1,5.5,999,-1,0,-1
62,80.19,5.24,0,1,5.5,999,-1,0,-1
63,81.26,5.96,0,1,5.5,999,-1,0,-1
64,84.15,3.58,0,1,5.5,999,-1,0,-1
65,80.84,8.3,0,1,5.5,999,-1,0,-1
66,83.76,7.35,0,1,5.5,999,-1,0,-1
67,85.02,4.9,0,1,5.5,999,-1,0,-1
68,80.84,3.66,0,1,5.5,999,-1,0,-1
69,83.95,6.34,0,1,5.5,999,-1,0,-1
70,1.88,-143.51,0,1,8.5,999,-1,0,-1
71,2.54,-144.4,0,1,7.5,999,-1,0,-1
72,8.49,-144.68,0,1,6,999,-1,0,-1
73,4.39,-142.65,0,1,6,999,-1,0,-1
74,5.77,-148.26,0,1,6,999,-1,0,-1
75,6.82,-147.63,0,1,6,999,-1,0,-1
76,5.42,-144.6,0,1,6,999,-1,0,-1
77,5.98,-146.36,0,1,6,999,-1,0,-1
78,3.14,-146.85,0,1,6.5,999,-1,0,-1
79,4.89,-143.45,0,1,6,999,-1,0,-1
80,133.38,49.69,0,1,5.5,999,-1,0,-1
81,131.2,45.29,0,1,6.5,999,-1,0,-1
82,134.29,46.2,0,1,6,999,-1,0,-1
83,135.72,48.3,0,1,5.5,999,-1,0,-1
84,132.45,48.21,0,1,5.5,999,-1,0,-1
85,133.54,50.39,0,1,5.5,999,-1,0,-1
86,128.94,49.14,0,1,5.5,999,-1,0,-1
87,136.91,48.7,0,1,5.5,999,-1,0,-1
88,129.25,48.41,0,1,5.5,999,-1,0,-1
89,133.98,48.58,0,1,5.5,999,-1,0,-1
90,-146.15,-24.05,0,1,5.5,999,-1,0,-1
91,-144.5,-31.07,0,1,5.5,999,-1,0,-1
92,-145.49,-25.96,0,1,5.5,999,-1,0,-1
93,-146.51,-28.42,0,1,5.5,999,-1,0,-1
94,-148.89,-26.26,0,1,5.5,999,-1,0,-1
95,-145.17,-29.25,0,1,5.5,999,-1,0,-1
96,-141.26,-22.38,0,1,5.5,999,-1,0,-1
97,-147.18,-25.8,0,1,5.5,999,-1,0,-1
98,-141.88,-28.52,0,1,5.5,999,-1,0,-1
99,-147.44,-26.68,0,1,5.5,999,-1,0,-1
100,107.08,-146.04,0,1,6,999,-1,0,-1
101,107.46,-146.13,0,1,6,999,-1,0,-1
102,107.11,-142.43,0,1,6,999,-1,0,-1
103,108.06,-143.21,0,1,6,999,-1,0,-1
104,106.68,-142.2,0,1,6,999,-1,0,-1
105,106.5,-145.06,0,1,6,999,-1,0,-1
106,108.44,-142.42,0,1,6,999,-1,0,-1
107,107.17,-147.24,0,1,6,999,-1,0,-1
108,108.15,-144.69,0,1,6,999,-1,0,-1
109,109.45,-144.94,0,1,6,999,-1,0,-1
110,136.56,-85.88,0,1,5.5,999,-1,0,-1
111,139.39,-86.62,0,1,5.5,999,-1,0,-1
112,136.25,-82.58,0,1,5.5,999,-1,0,-1
113,136.78,-83.02,0,1,5.5,999,-1,0,-1
114,134.09,-82.36,0,1,5.5,999,-1,0,-1
115,138.22,-83.05,0,1,5.5,999,-1,0,-1
116,138.15,-86.71,0,1,5.5,999,-1,0,-1
117,140.46,-85.04,0,1,5.5,999,-1,0,-1
118,136.33,-84.2,0,1,5.5,999,-1,0,-1
119,137.96,-86.32,0,1,5.5,999,-1,0,-1
120,98.87,-25.4,0,1,5.5,999,-1,0,-1
121,102.81,-23.34,0,1,5.5,999,-1,0,-1
122,98.72,-25.29,0,1,5.5,999,-1,0,-1
123,97.61,-30.04,0,1,5.5,999,-1,0,-1
124,93.61,-26.23,0,1,6,999,-1,0,-1
125,101.07,-25.84,0,1,5.5,999,-1,0,-1
126,95.68,-24.05,0,1,5.5,999,-1,0,-1
127,96.39,-23.4,0,1,5.5,999,-1,0,-1
128,95.88,-24.77,0,1,5.5,999,-1,0,-1
129,98.05,-26.06,0,1,5.5,999,-1,0,-1
130,49.11,-230.86,0,1,5.5,999,-1,0,-1
131,44.94,-228.7,0,1,5.5,999,-1,0,-1
132,47.76,-229.63,0,1,5.5,999,-1,0,-1
133,48.11,-229.61,0,1,5.5,999,-1,0,-1
134,48.12,-230.73,0,1,5.5,999,-1,0,-1
135,46.72,-226.77,0,1,5.5,999,-1,0,-1
136,46.52,-228.81,0,1,5.5,999,-1,0,-1
137,47.12,-230.58,0,1,5.5,999,-1,0,-1
138,47.88,-228.76,0,1,5.5,999,-1,0,-1
139,47.62,-227.37,0,1,5.5,999,-1,0,-1
140,-64.17,-97.43,0,1,11,999,-1,0,-1
141,-64.97,-98.02,0,1,12,999,-1,0,-1
142,-65.99,-98.69,0,1,13,999,-1,0,-1
143,-60.88,-94.1,0,1,10.5,999,-1,0,-1
144,-62.58,-94.6,0,1,10.5,999,-1,0,-1
145,-64.63,-97.07,0,1,11,999,-1,0,-1
146,-68.15,-99.71,0,1,15,999,-1,0,-1
147,-66.17,-100.08,0,1,12.5,999,-1,0,-1
148,-61.52,-95.81,0,1,10.5,999,-1,0,-1
149,-63.19,-96.2,0,1,10.5,999,-1,0,-1
150,-205.56,91.82,0,1,5.5,999,-1,0,-1
151,-202.83,90.91,0,1,5.5,999,-1,0,-1
152,-205.41,89.38,0,1,5.5,999,-1,0,-1
153,-202.72,87.62,0,1,5.5,999,-1,0,-1
154,-203.51,93.58,0,1,5.5,999,-1,0,-1
155,-206.81,91.47,0,1,5.5,999,-1,0,-1
156,-204.5,88.28,0,1,5.5,999,-1,0,-1
157,-204.83,94.1,0,1,5.5,999,-1,0,-1
158,-203.68,88.87,0,1,5.5,999,-1,0,-1
159,-208.09,91.43,0,1,6,999,-1,0,-1
160,133.83,150.93,0,1,6.5,999,-1,0,-1
161,132.89,151.94,0,1,6.5,999,-1,0,-1
162,128.71,151.66,0,1,6,999,-1,0,-1
163,131.35,150.38,0,1,6.5,999,-1,0,-1
164,131.97,152.12,0,1,6.5,999,-1,0,-1
165,133.19,151.75,0,1,6.5,999,-1,0,-1
166,133.14,149.89,0,1,6.5,999,-1,0,-1
167,136.24,153.33,0,1,10.5,999,-1,0,-1
168,133.05,152.46,0,1,6.5,999,-1,0,-1
169,132.94,148.97,0,1,6.5,999,-1,0,-1
170,-139.34,-228.58,0,1,5.5,999,-1,0,-1
171,-138.04,-235.6,0,1,5.5,999,-1,0,-1
172,-139.64,-233.27,0,1,5.5,999,-1,0,-1
173,-135.72,-233.37,0,1,5.5,999,-1,0,-1
174,-137.86,-233.76,0,1,5.5,999,-1,0,-1
175,-134.59,-230.59,0,1,5.5,999,-1,0,-1
176,-136.75,-228.81,0,1,5.5,999,-1,0,-1
177,-138.39,-232.93,0,1,5.5,999,-1,0,-1
178,-137.48,-234.57,0,1,5.5,999,-1,0,-1
179,-137.12,-232.66,0,1,5.5,999,-1,0,-1
180,151.25,147.92,0,1,15,999,-1,0,-1
181,153.29,146.45,0,1,11.5,999,-1,0,-1
182,152.7,149.3,0,1,14,999,-1,0,-1
183,149.62,146.59,0,1,15.5,999,-1,0,-1
184,152.65,148.23,0,1,13,999,-1,0,-1
185,154.36,144.83,0,1,10.5,999,-1,0,-1
186,154.27,149.73,0,1,11,999,-1,0,-1
187,152.69,149.64,0,1,14,999,-1,0,-1
188,151.61,151.43,0,1,14.5,999,-1,0,-1
189,151.52,149.52,0,1,14.5,999,-1,0,-1
190,-67.32,235.05,0,1,5.5,999,-1,0,-1
191,-67.4,237.3,0,1,5.5,999,-1,0,-1
192,-65.93,237.19,0,1,5.5,999,-1,0,-1
193,-65.4,234.25,0,1,5.5,999,-1,0,-1
194,-65.04,234.46,0,1,5.5,999,-1,0,-1
195,-65.69,234.17,0,1,5.5,999,-1,0,-1
196,-65.67,235.21,0,1,5.5,999,-1,0,-1
197,-64.07,235.44,0,1,5.5,999,-1,0,-1
198,-63.22,236.89,0,1,5.5,999,-1,0,-1
199,-66.59,235.99,0,1,5.5,999,-1,0,-1
200,42.93,217.65,0,1,8,999,-1,0,-1
201,45.94,219.54,0,1,8,999,-1,0,-1
202,47.11,216.39,0,1,10.5,999,-1,0,-1
203,47.95,225.63,0,1,5.5,999,-1,0,-1
204,41.19,220.36,0,1,5.5,999,-1,0,-1
205,48.31,216.95,0,1,10.5,999,-1,0,-1
206,43.88,218.88,0,1,8,999,-1,0,-1
207,43.69,221.12,0,1,6,999,-1,0,-1
208,44.61,223.75,0,1,5.5,999,-1,0,-1
209,46.5,219.06,0,1,9,999,-1,0,-1
210,137.95,-157.04,0,1,8,999,-1,0,-1
211,134.88,-157.8,0,1,10,999,-1,0,-1
212,140.12,-153.48,0,1,5.5,999,-1,0,-1
213,137.62,-151.93,0,1,5.5,999,-1,0,-1
214,141.64,-154.53,0,1,5.5,999,-1,0,-1
215,136.85,-156.34,0,1,8,999,-1,0,-1
216,138.25,-156.43,0,1,8,999,-1,0,-1
217,143.21,-157.97,0,1,8.5,999,-1,0,-1
218,139.19,-157.06,0,1,8,999,-1,0,-1
219,140.2,-153.28,0,1,5.5,999,-1,0,-1
220,56.89,205.36,0,1,8.5,999,-1,0,-1
221,57.22,205.06,0,1,8.5,999,-1,0,-1
222,56.32,202.28,0,1,7,999,-1,0,-1
223,57.23,202.26,0,1,7,999,-1,0,-1
224,55.89,204.29,0,1,8.5,999,-1,0,-1
225,54.27,200.42,0,1,6.5,999,-1,0,-1
226,54.63,202.56,0,1,8.5,999,-1,0,-1
227,59.65,203.93,0,1,6.5,999,-1,0,-1
228,57.46,200.65,0,1,6.5,999,-1,0,-1
229,54.94,204.69,0,1,8.5,999,-1,0,-1
230,-93.12,-25.36,0,1,19.5,999,-1,0,-1
231,-99.26,-23.27,0,1,17,999,-1,0,-1
232,-99.92,-19.66,0,1,14,999,-1,0,-1
233,-95.05,-23.87,0,1,19,999,-1,0,-1
234,-95.39,-25.45,0,1,17.5,999,-1,0,-1
235,-96.75,-20.79,0,1,19.5,999,-1,0,-1
236,-95.27,-25.61,0,1,17.5,999,-1,0,-1
237,-93.83,-21.73,0,1,21,999,-1,0,-1
238,-97.52,-21.35,0,1,19.5,999,-1,0,-1
239,-96.06,-25.73,0,1,17.5,999,-1,0,-1
240,109.12,70.04,0,1,5.5,999,-1,0,-1
241,111.94,71.43,0,1,5.5,999,-1,0,-1
242,110.09,73.16,0,1,5.5,999,-1,0,-1
243,108.09,73.16,0,1,5.5,999,-1,0,-1
244,106.16,72.58,0,1,5.5,999,-1,0,-1
245,110.38,75.62,0,1,5.5,999,-1,0,-1
246,107.48,75.95,0,1,5.5,999,-1,0,-1
247,112.51,75.85,0,1,5.5,999,-1,0,-1
248,109.39,72.23,0,1,5.5,999,-1,0,-1
249,106.78,73.58,0,1,5.5,999,-1,0,-1
250,-188.93,1.21,0,1,5.5,999,-1,0,-1
251,-188.05,-0.64,0,1,5.5,999,-1,0,-1
252,-193.43,-3.47,0,1,5.5,999,-1,0,-1
253,-191.55,-2.5,0,1,5.5,999,-1,0,-1
254,-193.35,-1.65,0,1,5.5,999,-1,0,-1
255,-197.63,-3.18,0,1,5.5,999,-1,0,-1
256,-192.8,-2.68,0,1,5.5,999,-1,0,-1
257,-193.37,-2.07,0,1,5.5,999,-1,0,-1
258,-193.34,1.01,0,1,5.5,999,-1,0,-1
259,-190.68,-2.17,0,1,5.5,999,-1,0,-1
260,117.52,24.7,0,1,11,999,-1,0,-1
261,116.08,23.53,0,1,11,999,-1,0,-1
262,120.58,29.84,0,1,11,999,-1,0,-1
263,113.69,21.92,0,1,6.5,999,-1,0,-1
264,115.98,28.15,0,1,11,999,-1,0,-1
265,115.31,19.18,0,1,11,999,-1,0,-1
266,111.29,25.17,0,1,6.5,999,-1,0,-1
267,114.76,22.66,0,1,6.5,999,-1,0,-1
268,114.47,23.23,0,1,6.5,999,-1,0,-1
269,115.7,25.65,0,1,11,999,-1,0,-1
270,208.29,-5.84,0,1,5.5,999,-1,0,-1
271,209.81,-6.99,0,1,5.5,999,-1,0,-1
272,208.17,-8.23,0,1,5.5,999,-1,0,-1
273,214.73,-2.73,0,1,5.5,999,-1,0,-1
274,210.05,-5.08,0,1,5.5,999,-1,0,-1
275,211.68,-3.45,0,1,5.5,999,-1,0,-1
276,212.38,-3.6,0,1,5.5,999,-1,0,-1
277,211.51,-6.4,0,1,5.5,999,-1,0,-1
278,208.32,-4.6,0,1,5.5,999,-1,0,-1
279,210.06,-5.91,0,1,5.5,999,-1,0,-1
280,-231.16,83.64,0,1,5.5,999,-1,0,-1
281,-227.25,84.13,0,1,5.5,999,-1,0,-1
282,-230.58,85.66,0,1,5.5,999,-1,0,-1
283,-231.63,82.18,0,1,5.5,999,-1,0,-1
284,-229.26,82.4,0,1,5.5,999,-1,0,-1
285,-226.11,84.82,0,1,5.5,999,-1,0,-1
286,-231.62,82.06,0,1,5.5,999,-1,0,-1
287,-227.33,83.35,0,1,5.5,999,-1,0,-1
288,-229.83,84.02,0,1,5.5,999,-1,0,-1
289,-229.93,83.3,0,1,5.5,999,-1,0,-1
290,82.16,-96.62,0,1,9.5,999,-1,0,-1
291,81.41,-101.62,0,1,5.5,999,-1,0,-1
292,78.09,-104.06,0,1,5.5,999,-1,0,-1
293,86.26,-96.61,0,1,9.5,999,-1,0,-1
294,79.21,-101.23,0,1,5.5,999,-1,0,-1
295,80.8,-102.42,0,1,5.5,999,-1,0,-1
296,84.24,-98.98,0,1,9.5,999,-1,0,-1
297,80.83,-102.7,0,1,5.5,999,-1,0,-1
298,77.51,-98.96,0,1,9.5,999,-1,0,-1
299,81.34,-102.86,0,1,5.5,999,-1,0,-1
300,134.13,-173.99,0,1,9,999,-1,0,-1
301,135.99,-174.8,0,1,9,999,-1,0,-1
302,135.92,-175.73,0,1,6,999,-1,0,-1
303,131.09,-176.53,0,1,6,999,-1,0,-1
304,135.68,-173.74,0,1,8.5,999,-1,0,-1
305,133.23,-175.04,0,1,6,999,-1,0,-1
306,134.17,-177.35,0,1,6,999,-1,0,-1
307,134.46,-176.88,0,1,6,999,-1,0,-1
308,133.07,-176.99,0,1,6,999,-1,0,-1
309,138.79,-180.1,0,1,6,999,-1,0,-1
310,159.75,151.93,0,1,10.5,999,-1,0,-1
311,158.82,153.82,0,1,10.5,999,-1,0,-1
312,159.52,153.27,0,1,10.5,999,-1,0,-1
313,161.54,150.96,0,1,10.5,999,-1,0,-1
314,162.12,150.72,0,1,10.5,999,-1,0,-1
315,160.46,155.74,0,1,10.5,999,-1,0,-1
316,163.06,152.84,0,1,10.5,999,-1,0,-1
317,157.35,150.93,0,1,10.5,999,-1,0,-1
318,161.06,152.07,0,1,10.5,999,-1,0,-1
319,156.91,152.59,0,1,10.5,999,-1,0,-1
320,2.38,103.81,0,1,6,999,-1,0,-1
321,0.19,101.51,0,1,6,999,-1,0,-1
322,4.16,103.27,0,1,5.5,999,-1,0,-1
323,2.62,107.21,0,1,5.5,999,-1,0,-1
324,3,102.73,0,1,6,999,-1,0,-1
325,2.9,101.16,0,1,6,999,-1,0,-1
326,1.85,108.25,0,1,5.5,999,-1,0,-1
327,5.41,107.35,0,1,5.5,999,-1,0,-1
328,-0.24,102.71,0,1,6,999,-1,0,-1
329,5,107.6,0,1,5.5,999,-1,0,-1
330,-25.59,-239.55,0,1,10.5,999,-1,0,-1
331,-27.5,-239.53,0,1,10.5,999,-1,0,-1
332,-27.69,-237.98,0,1,10.5,999,-1,0,-1
333,-26.27,-238.28,0,1,10.5,999,-1,0,-1
334,-30.18,-239.23,0,1,10.5,999,-1,0,-1
335,-29.61,-238.61,0,1,10.5,999,-1,0,-1
336,-29.75,-237.72,0,1,10.5,999,-1,0,-1
337,-29.89,-238.44,0,1,10.5,999,-1,0,-1
338,-24.61,-241.64,0,1,10.5,999,-1,0,-1
339,-28.07,-243.1,0,1,10.5,999,-1,0,-1
340,-129.69,10.22,0,1,15.5,999,-1,0,-1
341,-129.65,8,0,1,15,999,-1,0,-1
342,-126.58,7.71,0,1,15,999,-1,0,-1
343,-128.93,6.55,0,1,15,999,-1,0,-1
344,-130.25,4.86,0,1,12.5,999,-1,0,-1
345,-129.5,10.16,0,1,15.5,999,-1,0,-1
346,-130.25,9.85,0,1,13,999,-1,0,-1
347,-130.45,6.34,0,1,12.5,999,-1,0,-1
348,-131,10.06,0,1,13,999,-1,0,-1
349,-130.59,11.77,0,1,13,999,-1,0,-1
350,-114.44,8.68,0,1,10.5,999,-1,0,-1
351,-115.26,9.46,0,1,10.5,999,-1,0,-1
352,-115.33,7.17,0,1,10.5,999,-1,0,-1
353,-114.66,7.86,0,1,10.5,999,-1,0,-1
354,-115.46,8.94,0,1,10.5,999,-1,0,-1
355,-118.51,6.68,0,1,11.5,999,-1,0,-1
356,-113.58,11.21,0,1,10.5,999,-1,0,-1
357,-111.91,9.69,0,1,10.5,999,-1,0,-1
358,-112.32,11.32,0,1,10.5,999,-1,0,-1
359,-109.98,10.42,0,1,8,999,-1,0,-1
360,126.06,-38.26,0,1,5.5,999,-1,0,-1
361,126.51,-31.4,0,1,5.5,999,-1,0,-1
362,125.47,-32.81,0,1,5.5,999,-1,0,-1
363,125.17,-32.88,0,1,5.5,999,-1,0,-1
364,127.55,-34.89,0,1,5.5,999,-1,0,-1
365,127.37,-35.62,0,1,5.5,999,-1,0,-1
366,124.87,-29.78,0,1,5.5,999,-1,0,-1
367,125.71,-32.04,0,1,5.5,999,-1,0,-1
368,126.31,-36.83,0,1,5.5,999,-1,0,-1
369,124.99,-34.21,0,1,5.5,999,-1,0,-1
370,-230.01,211.55,0,1,5.5,999,-1,0,-1
371,-232.63,213.02,0,1,5.5,999,-1,0,-1
372,-232.96,214.36,0,1,5.5,999,-1,0,-1
373,-229.44,214.23,0,1,5.5,999,-1,0,-1
374,-234.81,211.62,0,1,5.5,999,-1,0,-1
375,-234.34,213.19,0,1,5.5,999,-1,0,-1
376,-232.42,214.85,0,1,5.5,999,-1,0,-1
377,-230.87,213.88,0,1,5.5,999,-1,0,-1
378,-232.82,211.71,0,1,5.5,999,-1,0,-1
379,-231.38,213.15,0,1,5.5,999,-1,0,-1
380,82.93,-81.59,0,1,8,999,-1,0,-1
381,81.75,-79.35,0,1,7,999,-1,0,-1
382,81.29,-81.71,0,1,8.5,999,-1,0,-1
383,83.57,-81.6,0,1,7.5,999,-1,0,-1
384,81.24,-84.88,0,1,10.5,999,-1,0,-1
385,81.39,-81.45,0,1,8,999,-1,0,-1
386,82.96,-80.51,0,1,7.5,999,-1,0,-1
387,86.23,-79.57,0,1,7,999,-1,0,-1
388,81.82,-82.47,0,1,9,999,-1,0,-1
389,79.39,-81.33,0,1,8,999,-1,0,-1
390,-172.64,142.56,0,1,10.5,999,-1,0,-1
391,-168.81,140.22,0,1,9.5,999,-1,0,-1
392,-171.37,142.1,0,1,10.5,999,-1,0,-1
393,-169.84,142.39,0,1,10.5,999,-1,0,-1
394,-170.96,143.72,0,1,10.5,999,-1,0,-1
395,-169.53,141.68,0,1,10,999,-1,0,-1
396,-169.85,145.21,0,1,10.5,999,-1,0,-1
397,-174.85,141.71,0,1,11,999,-1,0,-1
398,-171.14,141.82,0,1,10.5,999,-1,0,-1
399,-168.6,142.88,0,1,10.5,999,-1,0,-1
400,-187,162.36,0,1,10.5,999,-1,0,-1
401,-187.61,161.72,0,1,10.5,999,-1,0,-1
402,-188.06,164.15,0,1,10.5,999,-1,0,-1
403,-188.6,162.46,0,1,10.5,999,-1,0,-1
404,-186.95,162.46,0,1,10.5,999,-1,0,-1
405,-186.44,157.25,0,1,11,999,-1,0,-1
406,-186.18,160.59,0,1,10.5,999,-1,0,-1
407,-186.66,164.28,0,1,10.5,999,-1,0,-1
408,-188.43,159.74,0,1,10.5,999,-1,0,-1
409,-189.27,163.84,0,1,10.5,999,-1,0,-1
410,-164.83,-193.19,0,1,9.5,999,-1,0,-1
411,-162.93,-196.34,0,1,10.5,999,-1,0,-1
412,-166.15,-198.29,0,1,7,999,-1,0,-1
413,-160.4,-193.82,0,1,10.5,999,-1,0,-1
414,-164.95,-194.45,0,1,9.5,999,-1,0,-1
415,-164.82,-189.43,0,1,8,999,-1,0,-1
416,-165.72,-192.35,0,1,7,999,-1,0,-1
417,-162.88,-192.71,0,1,10,999,-1,0,-1
418,-163.09,-193.1,0,1,10,999,-1,0,-1
419,-163.97,-195.3,0,1,10,999,-1,0,-1
420,134.4,21.6,0,1,10,999,-1,0,-1
421,131.31,24.35,0,1,10.5,999,-1,0,-1
422,130.49,22.5,0,1,11,999,-1,0,-1
423,131.7,27.58,0,1,10.5,999,-1,0,-1
424,131.88,23.49,0,1,10.5,999,-1,0,-1
425,133.41,24.39,0,1,10.5,999,-1,0,-1
426,133.13,22.86,0,1,10.5,999,-1,0,-1
427,129.73,24.49,0,1,11,999,-1,0,-1
428,134.69,22.63,0,1,9.5,999,-1,0,-1
429,133.61,24.59,0,1,10,999,-1,0,-1
430,-75.99,-6.77,0,1,7,999,-1,0,-1
431,-84.03,-10.45,0,1,15.5,999,-1,0,-1
432,-82.94,-8.74,0,1,11.5,999,-1,0,-1
433,-79.81,-11.65,0,1,13,999,-1,0,-1
434,-84.65,-6.67,0,1,8.5,999,-1,0,-1
435,-81.14,-11.19,0,1,13.5,999,-1,0,-1
436,-79.46,-8.21,0,1,8,999,-1,0,-1
437,-80.35,-11.57,0,1,13.5,999,-1,0,-1
438,-80.06,-13.87,0,1,15,999,-1,0,-1
439,-75.86,-9.92,0,1,9,999,-1,0,-1
440,177.27,-125.45,0,1,6,999,-1,0,-1
441,180.99,-125.74,0,1,6,999,-1,0,-1
442,181.17,-129.73,0,1,6,999,-1,0,-1
443,182.39,-126.25,0,1,6,999,-1,0,-1
444,175.75,-128.38,0,1,6,999,-1,0,-1
445,182.02,-125.9,0,1,6,999,-1,0,-1
446,177.79,-126.69,0,1,6,999,-1,0,-1
447,178.98,-127.76,0,1,6,999,-1,0,-1
448,178.4,-126.82,0,1,6,999,-1,0,-1
449,180.64,-127.97,0,1,6,999,-1,0,-1
450,86.32,-208.81,0,1,6,999,-1,0,-1
451,87.12,-205.85,0,1,6,999,-1,0,-1
452,87.34,-206.78,0,1,6,999,-1,0,-1
453,87.91,-210.69,0,1,5.5,999,-1,0,-1
454,90.8,-207.99,0,1,6,999,-1,0,-1
455,85.31,-205.99,0,1,6,999,-1,0,-1
456,84.92,-209.28,0,1,6,999,-1,0,-1
457,85.62,-211.95,0,1,5.5,999,-1,0,-1
458,87.98,-205.88,0,1,6,999,-1,0,-1
459,81.03,-205.13,0,1,6,999,-1,0,-1
460,-63.45,-210.05,0,1,10.5,999,-1,0,-1
461,-62.95,-207.21,0,1,10.5,999,-1,0,-1
462,-59.53,-206.42,0,1,10.5,999,-1,0,-1
463,-63.73,-205.77,0,1,10.5,999,-1,0,-1
464,-61.66,-207.74,0,1,10.5,999,-1,0,-1
465,-60.23,-209.72,0,1,10.5,999,-1,0,-1
466,-64.68,-205.53,0,1,10.5,999,-1,0,-1
467,-60.61,-209.69,0,1,10.5,999,-1,0,-1
468,-65.49,-207.56,0,1,10,999,-1,0,-1
469,-61.81,-206.78,0,1,10.5,999,-1,0,-1
470,-0.53,-48.99,0,1,19,999,-1,0,-1
471,1.25,-52.13,0,1,17,999,-1,0,-1
472,3.82,-46.89,0,1,16,999,-1,0,-1
473,-4.25,-48.79,0,1,20,999,-1,0,-1
474,1.78,-51.22,0,1,16,999,-1,0,-1
475,-2.31,-45.93,0,1,19,999,-1,0,-1
476,0.63,-46.3,0,1,17,999,-1,0,-1
477,-1.75,-46.76,0,1,19,999,-1,0,-1
478,-0.46,-51.19,0,1,18,999,-1,0,-1
479,1.63,-49.28,0,1,17,999,-1,0,-1
480,-41.72,236.48,0,1,5.5,999,-1,0,-1
481,-37.74,234.24,0,1,5.5,999,-1,0,-1
482,-34.11,236.91,0,1,5.5,999,-1,0,-1
483,-36.17,236.91,0,1,5.5,999,-1,0,-1
484,-41.44,234.19,0,1,5.5,999,-1,0,-1
485,-34.38,237.5,0,1,5.5,999,-1,0,-1
486,-38.37,235.27,0,1,5.5,999,-1,0,-1
487,-36.82,237.83,0,1,5.5,999,-1,0,-1
488,-40.72,234.67,0,1,5.5,999,-1,0,-1
489,-36.96,239.71,0,1,5.5,999,-1,0,-1
